ds,yhat,yhat_lower,yhat_upper,country,alert
2023-04-15,-125983.56283553113,-218203.79821991606,-31638.565871078867,US,Normal
2023-04-16,-127054.86066822562,-209909.28122104952,-31182.70180978669,US,Normal
2023-04-17,-128133.28837853402,-213341.20353442288,-41876.48300499596,US,Normal
2023-04-18,-129164.90907656771,-223059.07952317275,-42336.55249791625,US,Normal
2023-04-19,-131243.69086646725,-221793.64791018827,-47690.24296067051,US,Normal
2023-04-20,-132055.8299681681,-222961.27894639646,-46566.57430134412,US,Normal
2023-04-21,-133567.358920255,-223842.58060620452,-42755.685806830945,US,Normal
2023-04-22,-134232.4706933106,-219899.5242217433,-41756.82294817076,US,Normal
2023-04-23,-134770.0632782635,-219537.13495680012,-39106.418450474004,US,Normal
2023-04-24,-135163.7233169338,-227618.93333082405,-42441.335466574645,US,Normal
2023-04-25,-135388.72770244975,-227942.3543625664,-44426.222762410165,US,Normal
2023-04-26,-136571.09439425718,-225316.5813973862,-48670.48386437842,US,Normal
2023-04-27,-136430.80263314614,-232062.76669578295,-51690.116656209284,US,Normal
2023-04-28,-136968.27965683088,-223389.1994562382,-50260.18573625388,US,Normal
2023-04-29,-136671.61954939124,-231678.94145965573,-52645.645897563016,US,Normal
2023-04-30,-136292.07223830395,-228487.7042579191,-45395.81772639766,US,Normal
2023-05-01,-135843.0523177585,-220038.50011449476,-45277.777626030576,US,Normal
2023-05-02,-135326.27450459485,-225371.0606011607,-48465.954844662185,US,Normal
2023-05-03,-135890.07084030122,-220377.34493288214,-49247.57569413449,US,Normal
2023-05-04,-135272.0290400195,-228606.01734958455,-49546.405768698816,US,Normal
2023-05-05,-135485.06316387947,-226510.78204579008,-48293.83485076757,US,Normal
2023-05-06,-135024.3908546347,-217215.31889770032,-41007.901386577774,US,Normal
2023-05-07,-134642.95815269728,-224974.8192547013,-43828.47399029747,US,Normal
2023-05-08,-134350.55897421297,-226061.97154107023,-50801.01055270349,US,Normal
2023-03-10,-26231.76799896129,-97016.93963963118,41147.609989501936,India,Normal
2023-03-11,-26813.01759926883,-94919.86985489228,43886.82402569559,India,Normal
2023-03-12,-27448.608879221065,-94770.89803270761,45761.10567196954,India,Normal
2023-03-13,-28122.851374174228,-100230.79210802056,41922.334773172166,India,Normal
2023-03-14,-28817.700314595913,-98281.26073969348,42030.40244626086,India,Normal
2023-03-15,-29742.458291889157,-91701.29938274683,43605.47835868822,India,Normal
2023-03-16,-30401.58133745136,-100168.07707390026,38343.402014220206,India,Normal
2023-03-17,-31181.99281451755,-102038.6756044798,37381.168266841865,India,Normal
2023-03-18,-31739.66699587769,-97930.10596281852,44206.131234110704,India,Normal
2023-03-19,-32214.63007210589,-96841.84361095252,39928.91200869401,India,Normal
2023-03-20,-32589.47246649363,-99593.82541003535,34234.73914006317,India,Normal
2023-03-21,-32847.63973910773,-102824.297136714,41309.38316375499,India,Normal
2023-03-22,-33202.850128375416,-99554.6578530394,41942.27333580285,India,Normal
2023-03-23,-33166.55191088943,-101449.32693326143,35617.785983881775,India,Normal
2023-03-24,-33134.838717220926,-102478.06536001213,32179.095430919184,India,Normal
2023-03-25,-32774.60038520834,-98338.30542316644,37917.737004890376,India,Normal
2023-03-26,-32238.07325263139,-101003.5317564362,39362.769584007045,India,Normal
2023-03-27,-31520.899846977154,-95616.4700820499,36298.90487299025,India,Normal
2023-03-28,-30619.980749956805,-100596.59781281758,40002.0129102597,India,Normal
2023-03-29,-29762.481111763493,-103308.91438464665,38831.15517045795,India,Normal
2023-03-30,-28472.91791521116,-97011.09718334833,40736.78289071273,India,Normal
2023-03-31,-27159.75715613974,-96813.4129029445,40640.37486286849,India,Normal
2023-04-01,-25501.30734450202,-92729.39787166179,40648.700589892134,India,Normal
2023-04-02,-23660.079603963055,-98239.85852790128,46430.707980619896,India,Normal
2023-04-03,-21640.72809976584,-90511.5157122477,45340.453791702465,India,Normal
2023-04-04,-19447.854668421307,-88095.75683324058,52110.00253788893,India,Normal
2023-04-05,-17315.038559986482,-94503.15509141366,54671.287902931275,India,Normal
2023-04-06,-14772.013269463909,-82362.18237157786,52468.548905668984,India,Normal
2023-04-07,-12231.413124884144,-82672.85402332028,52396.89392030604,India,Normal
2023-04-08,-9374.867419343886,-78779.19056233161,58956.86832415495,India,Normal
2023-04-09,-6367.60195488937,-76722.4088151576,65795.5192916127,India,Normal
2023-04-10,-3216.6499043899316,-76992.54807111922,69155.08894737686,India,Normal
2023-04-11,71.0569491694605,-74868.24996693862,67505.17910581322,India,Normal
2023-04-12,3259.3690381606048,-62209.76002586208,75805.7456191877,India,Normal
2023-04-13,6815.4633484297965,-65855.2425478956,74813.10831108298,India,Normal
2023-04-14,10322.841632432395,-60605.90416971033,79030.93091557258,India,Normal
2023-04-15,14095.016892829779,-52805.37434114702,83209.7262486713,India,Normal
2023-04-16,17960.739182434976,-52375.89821977851,84503.08703378859,India,Normal
2023-04-17,21905.66807813828,-44085.29025650262,95907.99468705528,India,Normal
2023-04-18,25914.228057711905,-38185.42439843325,94675.8007803541,India,Normal
2023-04-19,29740.30427305404,-37777.22989002249,100289.06034561573,India,Normal
2023-04-20,33839.87279320358,-38599.33990457552,105391.73625708198,India,Normal
2023-04-21,37784.155769326586,-31468.951414068237,104534.66318346241,India,Normal
2023-04-22,41873.53344249015,-24185.35440503817,111975.42156217343,India,Normal
2023-04-23,45923.05905636121,-20660.290082834526,116164.10157669306,India,Normal
2023-04-24,49904.47667526218,-16077.349786587212,122691.25543649532,India,Normal
2023-04-25,53788.46861851994,-9350.680055967916,128237.12751833863,India,Normal
2023-04-26,57315.77861047768,-10677.109450975408,124078.30586876179,India,Normal
2023-04-27,60930.29179334272,-8548.8850067478,130061.42807787494,India,Normal
2023-04-28,64192.64799417321,-3423.5023204418367,135640.354465592,India,Normal
2023-04-29,67394.60540733612,-5091.270296835552,140833.57403678918,India,Normal
2023-04-30,70344.98575665569,421.738661392515,142294.31540894366,India,Normal
2023-05-01,73012.08617528321,5577.406063555538,144153.1360278544,India,Normal
2023-05-02,75366.2704569572,4433.659244888827,141642.20299273529,India,Normal
2023-05-03,77151.37287735898,9180.628681349695,149404.3680003178,India,Normal
2023-05-04,78817.98441095455,14504.893296864897,150395.63051140032,India,Normal
2023-05-05,79937.18836643985,13175.276746495452,150661.95100607618,India,Normal
2023-05-06,80814.9555089016,10731.642080390442,154356.2551462862,India,Normal
2023-05-07,81278.0251676967,11431.371586223771,152350.46310352857,India,Normal
2023-05-08,81316.15571098278,11508.948746226377,149611.8460330096,India,Normal
2023-03-10,17330.343763481884,-8138.252339756061,43542.40756651653,Brazil,Normal
2023-03-11,17269.256960780855,-8587.653943071271,41317.19631335284,Brazil,Normal
2023-03-12,17193.583662239205,-8784.877314400475,44070.301271919976,Brazil,Normal
2023-03-13,17097.557268659886,-8775.389916438722,42110.74997277582,Brazil,Normal
2023-03-14,16976.8213901429,-9408.075348962126,41899.383645046735,Brazil,Normal
2023-03-15,16703.53223732278,-8908.432464043104,41929.65571018094,Brazil,Normal
2023-03-16,16518.712351110637,-8044.734811321939,41447.269807148274,Brazil,Normal
2023-03-17,16409.8290057372,-8319.767796201884,40747.838861712764,Brazil,Normal
2023-03-18,16164.294533892866,-6863.13710060661,40151.99886679855,Brazil,Normal
2023-03-19,15887.919609560542,-7550.302723200622,42147.39365995639,Brazil,Normal
2023-03-20,15581.523381138868,-10936.495997102802,40894.15353866642,Brazil,Normal
2023-03-21,15246.762087616837,-12213.428209394919,40178.3822566841,Brazil,Normal
2023-03-22,14761.121066648622,-10668.669380235542,40794.885691331685,Brazil,Normal
2023-03-23,14370.187814069397,-10753.651980729312,39697.66808098813,Brazil,Normal
2023-03-24,14065.180021813085,-11544.311908947415,38844.98757729053,Brazil,Normal
2023-03-25,13636.425503768103,-12765.075707320839,40311.227453266416,Brazil,Normal
2023-03-26,13191.82381864628,-11514.34361584627,38519.495621541566,Brazil,Normal
2023-03-27,12733.491437335459,-12234.231969828992,38008.31087650583,Brazil,Normal
2023-03-28,12263.649314678683,-14176.079999956677,38667.141675794606,Brazil,Normal
2023-03-29,11659.694383616988,-12103.496221960479,38665.41471073781,Brazil,Normal
2023-03-30,11166.568747305359,-13660.406230614795,37277.817078156186,Brazil,Normal
2023-03-31,10774.396255399539,-15882.166262360523,33520.96696625313,Brazil,Normal
2023-04-01,10272.078919476346,-13719.773142002676,35718.88856404159,Brazil,Normal
2023-04-02,9765.878454004589,-15642.507533632224,34417.51500538144,Brazil,Normal
2023-04-03,9256.180343375221,-14964.180112051885,35589.55887005272,Brazil,Normal
2023-04-04,8743.495061254098,-18103.665468478524,33857.234842336504,Brazil,Normal
2023-04-05,8103.634067338276,-17763.63155686274,31687.149177791274,Brazil,Normal
2023-04-06,7580.170918992174,-17428.099812126875,34194.583509039825,Brazil,Normal
2023-04-07,7162.154297167162,-17970.203812611762,33008.420893271046,Brazil,Normal
2023-04-08,6637.76314397239,-20952.084564835488,30386.810484820577,Brazil,Normal
2023-04-09,6112.92762538608,-18163.24807199217,32079.10496019523,Brazil,Normal
2023-04-10,5588.112465061141,-19039.969614993624,32405.87534159674,Brazil,Normal
2023-04-11,5064.31714898678,-21098.487936259593,31277.903847717378,Brazil,Normal
2023-04-12,4418.231214531899,-21667.74638912825,30314.07223171549,Brazil,Normal
2023-04-13,3894.65622923552,-21772.161676943622,27017.679353391915,Brazil,Normal
2023-04-14,3484.163149575268,-22506.793245368557,27902.420044108465,Brazil,Normal
2023-04-15,2976.67769574615,-23568.49252125772,28644.54544223914,Brazil,Normal
2023-04-16,2480.0203512865746,-21530.594941916126,28527.549782201648,Brazil,Normal
2023-04-17,1996.6007810097901,-22644.684735283194,27820.903526524417,Brazil,Normal
2023-04-18,1529.3246530327554,-23716.337111648714,25402.81376397967,Brazil,Normal
2023-04-19,956.6546830880548,-24223.245019957878,26261.774579621437,Brazil,Normal
2023-04-20,524.941107832014,-23980.955839242328,25042.02702557045,Brazil,Normal
2023-04-21,225.99375550054128,-26733.221515907975,25350.11550747237,Brazil,Normal
2023-04-22,-149.4084100513419,-24179.34354443339,23340.184842520895,Brazil,Normal
2023-04-23,-493.0407667785598,-28015.3572643693,25663.076577074513,Brazil,Normal
2023-04-24,-802.5872806826333,-27000.92716128116,24304.024816168698,Brazil,Normal
2023-04-25,-1075.7655917995535,-27197.35546422212,23986.702800159022,Brazil,Normal
2023-04-26,-1435.2797553111418,-25884.32138459115,23643.609210442053,Brazil,Normal
2023-04-27,-1636.4846841411568,-27953.66736036003,23219.37521067646,Brazil,Normal
2023-04-28,-1689.7900189923475,-28223.060730040994,23335.348270195955,Brazil,Normal
2023-04-29,-1807.1080872633079,-27904.14744262912,23991.36001308657,Brazil,Normal
2023-04-30,-1883.3176067786453,-27537.111984388175,25883.5128630985,Brazil,Normal
2023-05-01,-1919.542628029556,-26349.649999389585,23204.706593392213,Brazil,Normal
2023-05-02,-1917.1890598131279,-26096.350134408014,23076.814402651064,Brazil,Normal
2023-05-03,-2002.7983218725362,-26616.356252618993,24103.005506818838,Brazil,Normal
2023-05-04,-1935.6052650250854,-28594.936038935084,22696.35042052368,Brazil,Normal
2023-05-05,-1729.8314463076706,-26286.77102038202,24041.566948962052,Brazil,Normal
2023-05-06,-1601.0219415962295,-27093.507664176672,25214.6656107109,Brazil,Normal
2023-05-07,-1447.4009206847343,-24617.983355865377,22848.589896144702,Brazil,Normal
2023-05-08,-1273.0489818863557,-27140.600187857537,23704.553937985565,Brazil,Normal
2023-03-10,-24707.75666417116,-70343.80298026538,17758.40235903852,France,Normal
2023-03-11,-24639.06080562611,-70685.05248568491,20594.687505103466,France,Normal
2023-03-12,-24476.270370512426,-67600.09987387061,20586.888142813965,France,Normal
